1577797205 1672491596 1663022156
1 1577799313 1663013338 1038
2 1577800525 1647838151 14
3 1577800589 1649817099 25
4 1577801603 1640802168 7
5 1577803209 1580591892 4
6 1577803730 1661551621 164
7 1577803751 1662409791 20
8 1577804201 1628699886 11
9 1577804967 1661803050 111
10 1577805299 1577805299 1
11 1577805714 1659274473 18
12 1577806208 1662949461 2333
13 1577806528 1662162865 241
14 1577807167 1662830030 368
15 1577807269 1662118999 75
16 1577807594 1640318489 60
17 1577807824 1659207951 103
18 1577808279 1617668652 19
19 1577808305 1661460068 208
20 1577808866 1662918419 1930
21 1577799235 1663011501 6379
22 1577809062 1584528647 2
23 1577809293 1662904944 612
24 1577809370 1663010836 2084
25 1577809383 1662995388 1186
26 1577809467 1577809467 1
27 1577809479 1660767251 39
28 1577809580 1662914941 1440
29 1577809684 1661699462 419
30 1577809806 1640124877 63
31 1577809884 1661492690 74
32 1577810068 1600177835 6
33 1577810206 1577810206 1
34 1577810610 1662439821 47
35 1577810767 1662935352 263
36 1577811122 1661114857 248
37 1577811810 1660599436 2093
38 1577811968 1659839734 427
39 1577812491 1660997100 40
40 1577812934 1661975495 88
41 1577813981 1635204816 13
42 1577814478 1662898891 88
43 1577814501 1655937331 12
44 1577814581 1663016797 368
45 1577814709 1661865367 115
46 1577808093 1663015326 764
47 1577815054 1629165812 187
48 1577815097 1578276166 2
49 1577815542 1662829163 218
50 1577815717 1662155111 151
51 1577815794 1633318501 17
52 1577815806 1663009773 453
53 1577816203 1663010548 550
54 1577816324 1661636040 75
55 1577816345 1662912787 1197
56 1577817176 1645038367 15
57 1577817525 1611978155 16
58 1577798918 1663008052 1931
59 1577818651 1659979727 7
60 1577819108 1596590389 4
61 1577819276 1661201644 90
62 1577810665 1661290712 682
63 1577819475 1662975938 439
64 1577819489 1658959143 63
65 1577819696 1662907369 4213
66 1577819757 1662607840 113
67 1577820047 1607540675 49
68 1577820070 1624691746 196
69 1577820496 1577820496 1
70 1577820678 1660505040 192
71 1577817440 1662810790 563
72 1577821398 1629741958 32
73 1577821735 1661629005 186
74 1577819380 1662561728 610
75 1577822121 1655729224 22
76 1577803359 1663012967 7858
77 1577815576 1663005183 362
78 1577822803 1661277696 52
