956703932 1046454590 1037479524
1 956703932 1036269944 2213
2 956703954 1037423357 2570
3 956703954 1037240530 522
4 956703977 1036258820 1327
5 956703977 1036270081 623
6 956704056 1024170796 21
7 956704056 1035933891 136
8 956704056 1032133721 123
9 956704056 1036258857 213
10 956704056 1037048941 354
11 956704081 1025160999 200
12 956704191 1037434230 1659
13 956704191 1037434230 1714
14 956704191 974942923 9
15 956704219 1036187226 2298
16 956704257 977454276 16
17 956704257 1037468541 2222
18 956704257 1036269921 1180
19 956704305 1011210684 52
20 956704448 1013196621 59
21 956704475 1036261127 3418
22 956704475 1036915150 2507
23 956704475 1036309831 2359
24 956704519 1009073744 61
25 956704519 1036192293 186
26 956704519 1037423328 2643
27 956704584 1036823540 830
28 956704584 1036258250 1746
29 956704584 1037238941 2448
30 956704613 1036823273 713
31 956704656 1036709015 1062
32 956704673 1032748563 2282
33 956704716 1009256949 93
34 956704716 1036261478 700
35 956704716 1036310589 219
36 956704716 1035673200 1243
37 956704746 1022012377 155
38 956704746 1036259504 473
39 956704788 1035131318 769
40 956704788 1036309921 348
41 956704788 1030916747 138
42 956704788 1020314315 228
43 956704788 1036962313 570
44 956704829 1036258351 1172
45 956704829 1034352463 1147
46 956704854 1036916524 926
47 956704854 1035810724 472
48 956704854 1035915556 252
49 956704887 1036915210 1541
50 956704887 1031930483 1226
51 956704911 1036309111 1778
52 956704953 1037240503 539
53 956704953 1036823318 487
54 956704972 1035915812 453
55 956704972 1036725261 556
56 956704996 1037054451 2645
57 956704996 1033784526 1254
58 956705033 1036709513 498
59 956705056 1032648956 716
60 956705056 1036258907 470
61 956705073 1036962139 491
62 956705112 1036309155 739
63 956705158 1037267000 213
64 956705158 1037337791 1235
65 956705162 1035703402 167
66 956705178 1037044943 560
67 956705185 1036962351 1229
68 956705185 1036310062 1189
69 956705202 1037423262 441
70 956705202 1036709360 1331
71 956705281 1020315057 205
72 956705281 1037433988 187
73 956705281 1037206660 354
74 956705281 1014167550 42
75 956705300 1025966230 1096
76 956705323 1033500411 1204
77 956705323 1036261157 1347
78 956705323 1037238727 668
79 956705351 1037238727 412
80 956705351 1033847254 714
81 956705351 1033340167 927
82 956705351 1035405079 412
83 956705371 1036309893 1721
84 956705395 1037423296 649
85 956705395 1037423209 1007
86 956705416 1037434147 513
87 956705416 1036081988 2311
88 956705416 1035343370 270
89 956705441 1029159356 396
90 956705441 1037433988 242
91 956705441 1037238837 470
92 956705470 1036709614 433
93 956705470 1036310254 980
94 956705470 1033127377 174
95 956705486 1037240403 105
96 956705508 1037239147 70
97 956705508 1031008115 1723
98 956705508 1037338594 776
99 956705508 1033847310 1413
100 956705545 1037238838 419
101 956705545 1036309880 2573
102 956705545 1036258229 983
103 956705545 1035722149 136
104 956705545 1037434066 369
105 956705564 1035826434 414
106 956705564 1036823569 2270
107 956705581 1037469193 740
108 956705636 1036709614 303
109 956705636 1037240221 1492
110 956705636 1037240403 77
111 956705653 1037240403 250
112 956705654 1036962957 935
113 956705679 1028316405 589
114 956705679 1035342942 269
115 956705679 1035163558 672
116 956705679 1031487789 597
117 956705703 1035510478 417
118 956705703 1037238941 973
119 956705718 1029643637 383
120 956705733 1036709405 363
121 956705749 1033847762 138
122 956705790 1037422941 1444
123 956705790 1037423419 2979
124 956705790 1036269921 1355
125 956705811 1032407043 1708
126 956705811 1037469029 2875
127 956705811 1034196830 2253
128 956705872 1031707045 592
129 956705872 1036709267 634
130 956705872 1035131388 370
131 956705872 1036709241 441
132 956705907 1036709313 341
133 956705907 1036709334 187
134 956705907 1034352229 941
135 956705907 1036709241 739
136 956705907 1032648236 574
137 956705950 1027810380 1349
138 956705950 1014205581 54
139 956705950 1037239667 259
140 956705950 1036709267 757
141 956705950 1031911104 209
142 956705950 1031707056 1117
143 956705989 1036192335 254
144 956705989 1025963280 398
145 956705989 1019973649 290
146 956705989 1037048808 1333
147 956705989 1037066008 811
148 956705989 1027918722 256
149 956705989 1031177625 431
150 956706019 1019973681 171
151 956706019 1031007533 506
152 956706019 1032412485 185
153 956706019 1035915982 523
154 956706019 1036963042 685
155 956706051 1037238837 862
156 956706051 1033341102 390
157 956706051 1032411495 164
158 956706075 1036260454 279
159 956706075 1035915426 115
160 956706095 1029989451 381
161 956706148 1036270189 900
162 956706148 1036535705 1042
163 956706148 1037423168 1039
164 956706148 1033137931 477
165 956706148 1036709159 539
166 956706182 1032648502 289
167 956706182 1028298227 302
168 956706182 1016838984 166
169 956706182 1035343533 197
170 956706182 1036916892 377
171 956706201 1028886296 185
172 956706201 1036709159 290
173 956706233 1016723353 377
174 956706298 1025320637 460
175 956706324 1035131228 398
176 956706505 1036905552 299
177 956706538 1036269921 1107
178 956706827 1034101608 1153
179 956706909 1036260703 349
180 956707005 1036709647 2186
181 956707005 1037238837 1693
182 956707547 1036310025 1322
183 956707604 1037239040 879
184 956707604 1037240179 2178
185 956707640 1037469193 344
186 956707708 1037468708 1593
187 956708997 1029310223 497
188 956708997 1031911248 365
189 956708997 1031025002 27
190 956708997 1036307514 757
191 956709118 1037338490 707
192 956709149 1036258907 834
193 956709149 1037423072 1683
194 956709215 1037131706 293
195 956709215 1036470846 1717
196 956709215 1036270109 935
197 956709265 1032133400 879
198 956709265 1032138580 1312
199 956709265 1034355182 391
200 956709265 1036270060 1373
201 956709265 1036270255 729
202 956709303 1036269897 920
203 956709327 1032409668 267
204 956709349 1036260029 1540
205 956709350 1037239486 512
206 956709350 1028959035 531
207 956709350 1036310432 661
208 956709350 1030159633 325
209 956709355 1036269988 448
210 956709355 1037423262 516
211 956709393 1018048007 121
212 956709393 1028958695 218
213 956709393 1034196704 747
214 956709393 1036270060 519
215 956709393 1025247207 423
216 956709453 1022557228 139
217 956709453 1032136338 747
218 956709453 1025236623 327
219 956709453 1035725981 694
220 956709453 1036701244 1423
221 956709453 1035918552 1361
222 956709453 1036310321 1379
223 956709453 1031343056 628
224 956709469 1036258530 586
225 956709469 1034879781 684
226 956709469 1035244137 612
227 956709469 1037161313 762
228 956709526 1035425125 634
229 956709526 1037239148 42
230 956709526 1020014374 164
231 956709526 1016219537 110
232 956709526 1036962090 2231
233 956709526 1030230159 420
234 956709526 1034886442 790
235 956709526 1036724817 1231
236 956709526 1037339212 931
237 956709534 1036270081 994
238 956709534 1036259260 200
239 956709534 1036197216 107
240 956709578 1021964074 444
241 956709578 1031343158 609
242 956709578 1036310486 1405
243 956709578 1024084716 229
244 956709578 1036260332 170
245 956709578 1031007790 198
246 956709587 1032138580 378
247 956709587 1036915895 521
248 956709587 1037434230 1167
249 956709629 1037423453 1013
250 956709629 1022014874 90
251 956709629 1031910682 113
252 956709629 1036709631 390
253 956709629 1036258569 668
254 956709631 1036308624 780
255 956709631 1035788388 554
256 956709631 1037239351 169
